p,Tsat
599500,431.976
601000,432.067857142857
602500,432.159714285714
604000,432.251571428571
605500,432.343428571429
607000,432.435285714286
608500,432.527142857143
610000,432.619
611500,432.710857142857
613000,432.802714285714
614500,432.894571428571
616000,432.986428571428
617500,433.078285714285
619000,433.170142857143
620500,433.262
622000,433.358384615385
623500,433.454769230769
625000,433.551153846154
626500,433.647538461539
628000,433.743923076923
629500,433.840307692308
631000,433.936692307692
632500,434.033076923077
634000,434.129461538462
635500,434.225846153846
637000,434.322230769231
638500,434.418615384616
640000,434.515
641500,434.609
643000,434.703
644500,434.797
646000,434.891
647500,434.985
649000,435.079
650500,435.173
652000,435.267
653500,435.361
655000,435.455
656500,435.549
658000,435.643
659500,435.737
661000,435.822285714286
662500,435.907571428571
664000,435.992857142857
665500,436.078142857143
667000,436.163428571429
668500,436.248714285714
670000,436.334
671500,436.419285714286
673000,436.504571428571
674500,436.589857142857
676000,436.675142857143
677500,436.760428571428
679000,436.845714285714
680500,436.931
682000,437.020615384615
683500,437.110230769231
685000,437.199846153846
686500,437.289461538462
688000,437.379076923077
689500,437.468692307692
691000,437.558307692308
692500,437.647923076923
694000,437.737538461539
695500,437.827153846154
697000,437.916769230769
698500,438.006384615385
700000,438.096
701500,438.1815
